price,location,area
1579500,"Soho Square Residences, Soho Square, Saadiyat Island, Abu Dhabi",1268
1579500,"Soho Square Residences, Soho Square, Saadiyat Island, Abu Dhabi",1268
950000,"Al Sana, Al Muneera, Al Raha Beach, Abu Dhabi",896
950000,"Al Sana, Al Muneera, Al Raha Beach, Abu Dhabi",896
780000,"Meera Shams Tower 1, Shams Abu Dhabi, Al Reem Island, Abu Dhabi",686
780000,"Meera Shams Tower 1, Shams Abu Dhabi, Al Reem Island, Abu Dhabi",686
1600000,"Sea La Vie, Yas Island, Abu Dhabi",772
1600000,"Sea La Vie, Yas Island, Abu Dhabi",772
500000,"Reeman Living, Al Reeman 1, Al Shamkha, Abu Dhabi",281
500000,"Reeman Living, Al Reeman 1, Al Shamkha, Abu Dhabi",281
500000,"Al Maryah Vista 2, Al Maryah Island, Abu Dhabi",356
500000,"Al Maryah Vista 2, Al Maryah Island, Abu Dhabi",356
928000,"Bloom Living, Zayed City, Abu Dhabi",739
928000,"Bloom Living, Zayed City, Abu Dhabi",739
920000,"Building 5, Al Reef Downtown, Al Reef, Abu Dhabi",1402
920000,"Building 5, Al Reef Downtown, Al Reef, Abu Dhabi",1402
685893,"Reeman Living, Al Reeman 1, Al Shamkha, Abu Dhabi",485
685893,"Reeman Living, Al Reeman 1, Al Shamkha, Abu Dhabi",485
648000,"Selina Bay, Yas Bay, Yas Island, Abu Dhabi",450
648000,"Selina Bay, Yas Bay, Yas Island, Abu Dhabi",450
1520000,"Yas Golf Collection, Yas Island, Abu Dhabi",885
1520000,"Yas Golf Collection, Yas Island, Abu Dhabi",885
765000,"Royal Park, Masdar City, Abu Dhabi",1160
765000,"Royal Park, Masdar City, Abu Dhabi",1160
1200000,"MAG 5 Residence (B2 Tower), Marina Square, Al Reem Island, Abu Dhabi",1356
1200000,"MAG 5 Residence (B2 Tower), Marina Square, Al Reem Island, Abu Dhabi",1356
1030000,"Selina Bay, Yas Bay, Yas Island, Abu Dhabi",1380
1030000,"Selina Bay, Yas Bay, Yas Island, Abu Dhabi",1380
648000,"Selina Bay, Yas Bay, Yas Island, Abu Dhabi",450
648000,"Selina Bay, Yas Bay, Yas Island, Abu Dhabi",450
625200,"Reeman Living, Al Reeman 1, Al Shamkha, Abu Dhabi",485
625200,"Reeman Living, Al Reeman 1, Al Shamkha, Abu Dhabi",485
850000,"Water's Edge, Yas Island, Abu Dhabi",490
850000,"Water's Edge, Yas Island, Abu Dhabi",490
604000,"Royal Park, Masdar City, Abu Dhabi",751
604000,"Royal Park, Masdar City, Abu Dhabi",751
1977000,"Reem Hills, Al Reem Island, Abu Dhabi",1957
1977000,"Reem Hills, Al Reem Island, Abu Dhabi",1957
1977000,"Reem Hills, Al Reem Island, Abu Dhabi",1957
2100000,"Ansam 3, Ansam, Yas Island, Abu Dhabi",1230
